Company,Date,high_mean,low_mean,adj_close_mean,volume_mean
AAPL,2019-03-14,46.025002,45.639999,44.21917,94318000.0
AAPL,2019-03-15,46.8325,45.935001,44.79438,156171600.0
AAPL,2019-03-18,47.0975,46.447498,45.251667,104879200.0
AAPL,2019-03-19,47.247501,46.48,44.893047,126585600.0
AAPL,2019-03-20,47.372501,46.182499,45.285351,124140800.0
AAPL,2019-03-21,49.0825,47.452499,46.953224,204136800.0
AAPL,2019-03-22,49.422501,47.695,45.980907,169630800.0
AAPL,2019-03-25,47.994999,46.650002,45.424942,175381200.0
AAPL,2019-03-26,48.220001,46.145,44.955635,199202000.0
AAPL,2019-03-27,47.439999,46.637501,45.35997,119393600.0
AAPL,2019-03-28,47.389999,46.8825,45.420128,83121600.0
AAPL,2019-03-29,47.52,47.134998,45.716167,94256000.0
AAPL,2019-04-01,47.919998,47.095001,46.026623,111448000.0
AAPL,2019-04-02,48.615002,47.762501,46.695709,91062800.0
AAPL,2019-04-03,49.125,48.287498,47.015812,93087200.0
AAPL,2019-04-04,49.092499,48.285,47.09763,76457200.0
AAPL,2019-04-05,49.275002,48.982498,47.412926,74106400.0
AAPL,2019-04-08,50.057499,49.084999,48.159008,103526800.0
AAPL,2019-04-09,50.712502,49.807499,48.014599,143072800.0
AAPL,2019-04-10,50.185001,49.544998,48.284161,86781200.0
AAPL,2019-04-11,50.25,49.610001,47.882233,83603200.0
AAPL,2019-04-12,50.035,49.052502,47.862984,111042800.0
AAPL,2019-04-15,49.962502,49.502499,47.949619,70146400.0
AAPL,2019-04-16,50.342499,49.639999,47.954437,102785600.0
AAPL,2019-04-17,50.845001,49.6525,48.888248,115627200.0
AAPL,2019-04-18,51.037498,50.630001,49.06395,96783200.0
AAPL,2019-04-22,51.235001,50.584999,49.225197,77758000.0
AAPL,2019-04-23,51.9375,50.974998,49.935192,93292000.0
AAPL,2019-04-24,52.119999,51.762501,49.858173,70162400.0
AAPL,2019-04-25,51.939999,51.279999,49.405704,74172800.0
AAPL,2019-04-26,51.25,50.529999,49.169846,74596400.0
AAPL,2019-04-29,51.4925,50.965,49.244457,88818800.0
AAPL,2019-04-30,50.849998,49.7775,48.296192,186139600.0
AAPL,2019-05-01,53.827499,52.307499,50.666836,259309200.0
AAPL,2019-05-02,53.162498,52.032501,50.337124,127985200.0
AAPL,2019-05-03,52.959999,52.557499,50.962875,83569600.0
AAPL,2019-05-06,52.209999,50.875,50.175858,129772400.0
AAPL,2019-05-07,51.855,50.2075,48.823273,155054800.0
AAPL,2019-05-08,51.334999,50.4375,48.832897,105358000.0
AAPL,2019-05-09,50.419998,49.165001,48.308231,139634400.0
AAPL,2019-05-10,49.712502,48.192501,47.638996,164834800.0
AAPL,2019-05-13,47.369999,45.712502,44.870243,229722400.0
AAPL,2019-05-14,47.424999,46.352501,45.580547,146118800.0
AAPL,2019-05-15,47.9375,46.505001,46.126572,106178800.0
AAPL,2019-05-16,48.1175,47.209999,45.923626,132125600.0
AAPL,2019-05-17,47.724998,46.689999,45.662693,131516400.0
AAPL,2019-05-20,46.087502,45.07,44.234829,154449200.0
AAPL,2019-05-21,47.0,46.174999,45.082859,113459200.0
AAPL,2019-05-22,46.427502,45.637501,44.159931,118994400.0
AAPL,2019-05-23,45.134998,44.452499,43.406136,146118800.0
AAPL,2019-05-24,45.535,44.654999,43.239422,94858800.0
AAPL,2019-05-28,45.147499,44.477501,43.060654,111792800.0
AAPL,2019-05-29,44.837502,44.0,42.855282,113924800.0
AAPL,2019-05-30,44.807499,44.1675,43.077557,84873600.0
AAPL,2019-05-31,44.497501,43.747501,42.297176,108174400.0
AAPL,2019-06-03,44.48,42.567501,41.869556,161584400.0
AAPL,2019-06-04,44.9575,43.630001,43.401299,123872000.0
AAPL,2019-06-05,46.247501,45.285,44.101944,119093600.0
AAPL,2019-06-06,46.3675,45.537498,44.749439,90105200.0
AAPL,2019-06-07,47.98,46.442501,45.940525,122737600.0
AAPL,2019-06-10,48.842499,47.904999,46.527622,104883600.0
AAPL,2019-06-11,49.0,48.400002,47.066387,107731600.0
AAPL,2019-06-12,48.9925,48.3475,46.916615,73012800.0
AAPL,2019-06-13,49.197498,48.400002,46.906937,86698400.0
AAPL,2019-06-14,48.397499,47.575001,46.566284,75046000.0
AAPL,2019-06-17,48.740002,48.0425,46.84412,58676400.0
AAPL,2019-06-18,50.072498,48.802502,47.945831,106204000.0
AAPL,2019-06-19,49.970001,49.327499,47.805695,84496800.0
AAPL,2019-06-20,50.1525,49.5075,48.189854,86056000.0
AAPL,2019-06-21,50.212502,49.537498,48.025551,191202400.0
AAPL,2019-06-24,50.040001,49.5425,47.977234,72881600.0
AAPL,2019-06-25,49.814999,48.822498,47.250023,84281200.0
AAPL,2019-06-26,50.247501,49.337502,48.271988,104270000.0
AAPL,2019-06-27,50.392502,49.892502,48.257492,83598800.0
AAPL,2019-06-28,49.875,49.262501,47.817783,124442400.0
AAPL,2019-07-01,51.122501,50.162498,48.694798,109012000.0
AAPL,2019-07-02,50.782501,50.34,48.979874,67740800.0
AAPL,2019-07-03,51.110001,50.672501,49.385777,45448000.0
AAPL,2019-07-05,51.27,50.724998,49.342289,69062000.0
AAPL,2019-07-08,50.349998,49.602501,48.325153,101354400.0
AAPL,2019-07-09,50.377499,49.702499,48.6199,82312000.0
AAPL,2019-07-10,50.932499,50.389999,49.100674,71588400.0
AAPL,2019-07-11,51.0975,50.427502,48.743114,80767200.0
AAPL,2019-07-12,51.0,50.549999,49.117596,70380800.0
AAPL,2019-07-15,51.467499,51.0,49.579052,67789600.0
AAPL,2019-07-16,51.5275,50.875,49.407524,67467200.0
AAPL,2019-07-17,51.272499,50.817501,49.129677,56430000.0
AAPL,2019-07-18,51.470001,50.924999,49.687775,74162400.0
AAPL,2019-07-19,51.625,50.59,48.946053,83717200.0
AAPL,2019-07-22,51.807499,50.9025,50.064671,89111600.0
AAPL,2019-07-23,52.227501,51.822498,50.45607,73420800.0
AAPL,2019-07-24,52.287498,51.7925,50.414997,59966400.0
AAPL,2019-07-25,52.310001,51.682499,50.01635,55638400.0
AAPL,2019-07-26,52.432499,51.785,50.190308,70475600.0
AAPL,2019-07-29,52.66,52.110001,50.659008,86693600.0
AAPL,2019-07-30,52.540001,51.827499,50.441574,135742800.0
AAPL,2019-07-31,55.342499,52.825001,51.470795,277125600.0
AAPL,2019-08-01,54.5075,51.685001,50.357014,216071600.0
AAPL,2019-08-02,51.607498,50.407501,49.291557,163448400.0
AAPL,2019-08-05,49.662498,48.145,46.711231,209572000.0
AAPL,2019-08-06,49.517502,48.509998,47.595501,143299200.0
AAPL,2019-08-07,49.889999,48.455002,48.088371,133457600.0
AAPL,2019-08-08,50.8825,49.8475,49.149006,108038000.0
AAPL,2019-08-09,50.689999,49.822498,48.743996,98478800.0
AAPL,2019-08-12,50.512501,49.787498,48.620308,89927600.0
AAPL,2019-08-13,53.035,50.119999,50.679295,188874000.0
AAPL,2019-08-14,51.610001,50.647499,49.170826,146189600.0
AAPL,2019-08-15,51.285,49.9175,48.925888,108909600.0
AAPL,2019-08-16,51.790001,50.959999,50.080276,110481600.0
AAPL,2019-08-19,53.182499,52.5075,51.013985,97654400.0
AAPL,2019-08-20,53.337502,52.580002,51.016399,107537200.0
AAPL,2019-08-21,53.412498,52.900002,51.569347,86141600.0
