Date,Adj Close,Company
2019-03-14,114.750084,ADDYY
2019-03-15,114.807297,ADDYY
2019-03-18,112.595238,ADDYY
2019-03-19,113.55825,ADDYY
2019-03-20,114.340088,ADDYY
2019-03-21,113.281738,ADDYY
2019-03-22,113.043365,ADDYY
2019-03-25,114.721489,ADDYY
2019-03-26,115.188683,ADDYY
2019-03-27,115.083801,ADDYY
2019-03-28,115.16008,ADDYY
2019-03-29,116.18029,ADDYY
2019-04-01,117.276787,ADDYY
2019-04-02,118.735596,ADDYY
2019-04-03,119.813011,ADDYY
2019-04-04,121.281364,ADDYY
2019-04-05,121.843903,ADDYY
2019-04-08,120.518585,ADDYY
2019-04-09,120.518585,ADDYY
2019-04-10,121.843903,ADDYY
2019-04-11,120.861824,ADDYY
2019-04-12,121.243217,ADDYY
2019-04-15,122.24437,ADDYY
2019-04-16,123.474342,ADDYY
2019-04-17,123.760368,ADDYY
2019-04-18,124.22757,ADDYY
2019-04-22,124.856865,ADDYY
2019-04-23,123.80806,ADDYY
2019-04-24,122.606674,ADDYY
2019-04-25,121.700882,ADDYY
2019-04-26,122.015526,ADDYY
2019-04-29,121.700882,ADDYY
2019-04-30,122.558998,ADDYY
2019-05-01,121.500656,ADDYY
2019-05-02,121.853439,ADDYY
2019-05-03,133.066254,ADDYY
2019-05-06,135.859924,ADDYY
2019-05-07,132.98996,ADDYY
2019-05-08,137.576141,ADDYY
2019-05-09,135.440399,ADDYY
2019-05-10,137.886002,ADDYY
2019-05-13,133.006363,ADDYY
2019-05-14,135.537979,ADDYY
2019-05-15,137.238602,ADDYY
2019-05-16,135.325409,ADDYY
2019-05-17,137.789398,ADDYY
2019-05-20,135.48967,ADDYY
2019-05-21,139.035843,ADDYY
2019-05-22,141.654434,ADDYY
2019-05-23,140.137405,ADDYY
2019-05-24,140.65918,ADDYY
2019-05-28,142.050598,ADDYY
2019-05-29,139.200119,ADDYY
2019-05-30,139.325745,ADDYY
2019-05-31,138.050262,ADDYY
2019-06-03,140.243683,ADDYY
2019-06-04,140.697845,ADDYY
2019-06-05,139.721909,ADDYY
2019-06-06,142.543411,ADDYY
2019-06-07,145.084671,ADDYY
2019-06-10,145.577484,ADDYY
2019-06-11,141.876678,ADDYY
2019-06-12,140.282318,ADDYY
2019-06-13,141.354889,ADDYY
2019-06-14,141.393539,ADDYY
2019-06-17,142.804276,ADDYY
2019-06-18,148.10907,ADDYY
2019-06-19,145.616119,ADDYY
2019-06-20,147.171799,ADDYY
2019-06-21,147.355408,ADDYY
2019-06-24,145.790054,ADDYY
2019-06-25,143.847855,ADDYY
2019-06-26,148.872452,ADDYY
2019-06-27,146.021942,ADDYY
2019-06-28,149.007721,ADDYY
2019-07-01,149.809708,ADDYY
2019-07-02,149.307266,ADDYY
2019-07-03,152.312347,ADDYY
2019-07-05,150.775986,ADDYY
2019-07-08,151.983795,ADDYY
2019-07-09,152.602203,ADDYY
2019-07-10,151.742233,ADDYY
2019-07-11,151.616638,ADDYY
2019-07-12,150.447433,ADDYY
2019-07-15,151.645615,ADDYY
2019-07-16,152.476593,ADDYY
2019-07-17,152.109421,ADDYY
